model,kernel,components,iterations,converged,initial_objective,final_objective,objective_improvement,train_elpd,test_elpd,mean_test_elpd
gaussian,HeteroGauss,3,1000,False,-6153.672845685252,-5081.6579168748885,1072.014928810363,-4980.751745991642,-1363.8696625478617,-1.4075022317315393
splitt,SplitT,3,1000,False,-6537.834231110598,-5214.970145086603,1322.8640860239948,-5052.861096430292,-1410.9440333563339,-1.4560825937629864
splitnormal,SplitNormal,1,1000,False,-7145.4288603314735,-5085.259126121499,2060.169734209974,-4973.076092839156,-1374.97945810954,-1.418967449029453
