Date,DateDecimal,Returns,RLastDay,RLastWeek,RLastMonth,CloseAbs95,CloseSqr95,MinMaxAbs95,CloseAbs80,CloseSqr80,MinMaxAbs80,Time
1990-01-02,1990.0027397260274,1.7641989484296603,0.77549495978073835,2.4694027418763698,2.1190686979638613,-0.59414679856489061,-0.25375425320764522,-0.079248959015633835,-0.66034832654262909,-0.47278616516015248,-0.26553667915638407,0.00020639834881320949
1990-01-03,1990.0054794520547,-0.25889081200903508,1.7641989484296603,3.4708126696115351,2.5511012945053642,-0.57410903846189365,-0.25377921848265061,-0.014139110179156353,-0.56486644669953512,-0.4207722842126641,0.045737246810705498,0.00041279669762641898
1990-01-04,1990.0082191780823,-0.8650306588848482,-0.25889081200903508,3.3876561695700911,2.0700008303536239,-0.47279782377260471,-0.15908078542544654,-0.02609567991652811,-0.21370246366037521,-0.016615558263497567,-0.012318052484917998,0.00061919504643962852
1990-01-05,1990.0109589041097,-0.98041385988481711,-0.8650306588848482,1.9475973312327324,1.7270900754013194,-0.50246433810803715,-0.18230877352530944,0.0077074895262874499,-0.35975242968890148,-0.11960034779882593,0.11246757621515613,0.00082559339525283795
1990-01-08,1990.0191780821917,0.45043207078825703,-0.98041385988481711,0.43535857743169837,1.0417504129697681,-0.4812062309970298,-0.18037519630388008,0.018284505298231214,-0.31295148653588484,-0.12457624635505034,0.13071059687647976,0.0010319917440660474
1990-01-09,1990.0219178082191,-1.1856666386950594,0.45043207078825703,0.11029568843921678,1.76798924922329,-0.45231104335243666,-0.1709945774422168,0.019831244749237666,-0.24703790738242531,-0.10178619287754405,0.11485151855788477,0.001238390092879257
1990-01-10,1990.0246575342467,-0.66290974972910721,-1.1856666386950594,-2.8395698986855029,0.26635750593112351,-0.46701600548709277,-0.18918094632403043,0.033262239449043954,-0.33550730942767715,-0.18319908126637047,0.14543367567341309,0.0014447884416924665
1990-01-11,1990.027397260274,0.35065568236578465,-0.66290974972910721,-3.2435888364055749,-0.35926289234402164,-0.42341033577130976,-0.16354163126153706,0.056859893409747078,-0.21181601053103516,-0.089717388320028152,0.20761616471821745,0.0016511867905056759
1990-01-12,1990.0301369863014,-2.4984595648819732,0.35065568236578465,-2.027902495154942,-0.91395261042633891,-0.4227920372364995,-0.17340121344910828,0.044574536745142161,-0.24862446010915495,-0.13953705737000671,0.13505146465889969,0.0018575851393188853
1990-01-15,1990.0383561643835,-0.86567837082231203,-2.4984595648819732,-3.5459482001520981,-3.7019876672338685,-0.44630754127876215,-0.19449156110671126,0.11700849777661626,-0.36524099967821827,-0.23119319777197489,0.36393274276270166,0.0020639834881320948
